100,Debt collection,Written notification debt,"Ability Recovery Services, LLC",PA,191XX,3235603
101,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",FL,335XX,3235575
102,Debt collection,Attempts collect debt owed,"NRA Group, LLC",FL,322XX,3235801
103,Debt collection,Written notification debt,"ONLINE Information Services, Inc.",GA,31520,3236470
104,Credit reporting credit repair services personal consumer reports,Improper use report,"EQUIFAX, INC.",TN,379XX,3235574
105,Debt collection,Communication tactics,First Associates Loan Servicing LLC,ID,836XX,3235972
106,Debt collection,Communication tactics,Oracle Financial Group LLC.,TX,773XX,3236088
107,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,LEXISNEXIS,NY,11218,3235757
108,Checking savings account,Managing account,ALLY FINANCIAL INC.,GA,31907,3235718
109,Debt collection,Attempts collect debt owed,CURO Intermediate Holdings,TX,77055,3236567
110,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",CA,90211,3235565
111,Debt collection,Attempts collect debt owed,"Harris & Harris, Ltd.",IL,606XX,3235519
112,Debt collection,Threatened contact someone share information improperly,D. SCOTT CARRUTHERS,CA,944XX,3236729
113,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"EQUIFAX, INC.",MO,64130,3235543
114,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",UT,840XX,3235525
115,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",CO,810XX,3235553
116,Debt collection,Communication tactics,"Webcollex, LLC",VA,222XX,3236357
117,Debt collection,Took threatened take negative legal action,National Business Factors,NV,89431,3236297
118,Mortgage,Struggling pay mortgage,NATIONSTAR MORTGAGE,CA,92026,3237673
119,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"HCFS Health Care Financial Services, Inc.",GA,303XX,3236703
120,Debt collection,Attempts collect debt owed,MiraMed Revenue Group LLC,NY,109XX,3236012
121,Debt collection,Attempts collect debt owed,Perfection Collection,GA,303XX,3236759
